id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
96033,"* Cosy flat 200m from the beach, El Palo/Malaga *",510467,Rafael & Adriana,,Este,36.72031,-4.35627,Entire home/apt,23,5,89,2020-10-02,1.04,1,228
155696,"Wonderful sunny apartment, 2fl, very central",697056,Zeta,,Centro,36.72723,-4.4072,Entire home/apt,180,3,18,2018-09-25,0.16,2,364
166473,Perfect Location In Malaga,793360,Fred,,Este,36.71934,-4.35942,Private room,17,5,69,2020-10-15,0.62,3,365
212845,BEAUTIFUL DOUBLE ROOM IN MALAGA,617998,Valle,,Este,36.72606,-4.36541,Shared room,39,2,36,2020-09-30,0.34,2,301
229511,MOUNTAIN VILLA WITH SEAVIEWS - PRIVATE POOL,1198693,Joaquin,,Este,36.79087,-4.38198,Entire home/apt,190,5,3,2020-07-26,0.08,1,364
330760,MalagaLodge in the heart of Town,1687526,Mayte,,Centro,36.73066,-4.41262,Private room,30,1,34,2019-06-04,0.32,1,302
340024,NEW APARTMENT IN MALAGA CENTER,1725690,Carlos,,Centro,36.72813,-4.41422,Entire home/apt,35,3,134,2020-10-14,1.44,1,365
358541,Cool apartment for happy people!,1526932,Cristina,,Centro,36.72338,-4.42208,Entire home/apt,37,2,279,2020-09-18,2.69,1,348
421077,LUXURY MALAGA HISTORIC CENTER BEACH,2092252,Tatiana Juliettesis,,Centro,36.72117,-4.42526,Entire home/apt,35,1,67,2019-09-24,0.65,5,365
427860,Enjoy the coast of the Sun,2126353,Pablo,,Centro,36.73232,-4.4153,Private room,120,2,16,2017-08-17,0.16,3,364
461508,Apartment in the Historic Centre,2293404,Elena,,Centro,36.72292,-4.42331,Entire home/apt,55,2,18,2019-01-28,0.18,1,365
505688,Duplex Apartment in Malaga Center,2489890,Fede,,Centro,36.72526,-4.41821,Entire home/apt,51,3,171,2020-08-23,1.70,13,94
507961,Duplex Apartment. Malaga Center,2489890,Fede,,Centro,36.72433,-4.41834,Entire home/apt,53,2,143,2020-08-08,1.40,13,94
508787,Modern Apartment in Málaga Center,2489890,Fede,,Centro,36.7248,-4.41913,Entire home/apt,46,3,188,2020-03-08,1.86,13,94
509073,Modern Apartment. Málaga CityCenter,2489890,Fede,,Centro,36.7248,-4.41913,Entire home/apt,45,3,183,2020-03-14,1.82,13,94
550804,"MALAGA CENTER, MALAGUETA BEACH",2707228,Alfonso,,Centro,36.71643,-4.41103,Entire home/apt,228,5,54,2020-03-12,0.60,1,364
551603,"Luxury, beach and 10min city centre",2710857,Esther,,Carretera de Cadiz,36.69488,-4.44054,Entire home/apt,80,4,37,2020-01-02,0.38,1,340
577612,In the main square of the city cent. 3 double bedr,2840633,Carolina,,Centro,36.72146,-4.42335,Entire home/apt,108,1,283,2020-07-16,3.11,1,352
603361,"Spacious, central & bath en suite",2986899,Andrés,,Centro,36.72851,-4.41452,Private room,36,2,368,2020-03-15,3.68,5,0
611037,Atico diáfano en centro de Málaga,3029584,Javier - Cap,,Centro,36.7298,-4.42092,Entire home/apt,79,2,150,2020-09-04,1.72,1,364
633862,Luxury and Beautiful penthouse,1297670,Ab Apartamentos,,Bailen-Miraflores,36.72973,-4.43524,Entire home/apt,56,2,2,2020-02-16,0.02,15,353
634046,Beach Front Apartment in Málaga,2489890,Fede,,Este,36.7178,-4.34829,Entire home/apt,62,2,61,2020-08-30,0.66,13,17
652994,"Charming penthouse, at downtown.",3282832,Deborah Y Luis,,Centro,36.72682,-4.41916,Entire home/apt,50,3,215,2020-09-23,2.16,2,295
655701,"Golf, beach and calm",3301281,Mariano,,Churriana,36.64943,-4.47706,Entire home/apt,90,2,47,2020-08-30,0.62,4,365
663794,Malaga Centro y Diversión,3301281,Mariano,,Centro,36.73097,-4.4235,Entire home/apt,46,2,20,2020-09-01,0.23,4,121
718943,Málaga oceanfront. WIFI,3083727,Loly & José Antonio,,Este,36.71735,-4.34732,Entire home/apt,137,3,10,2019-08-07,0.13,11,364
730157,Bonito atico en el centro de Málaga,3764491,Alicia,,Centro,36.72834,-4.41483,Entire home/apt,63,2,21,2019-08-18,0.38,1,363
730403,ESPACIO CON BUENA ONDA,3798354,Silvia,,Carretera de Cadiz,36.6933,-4.44923,Private room,30,6,2,2018-08-04,0.03,2,358
730431,SPACE WITH GOOD HARMONY AND PEACE,3798354,Silvia,,Carretera de Cadiz,36.69292,-4.44984,Private room,30,3,9,2019-04-21,0.11,2,358
735155,Low Cost 1 bedroom,3083727,Loly & José Antonio,,Cruz De Humilladero,36.722,-4.45063,Entire home/apt,71,3,1,2016-03-14,0.02,11,364
735157,Bonito y acogedor apartamento 1 dor,3083727,Loly & José Antonio,,Cruz De Humilladero,36.72089,-4.45057,Entire home/apt,82,3,6,2019-07-07,0.08,11,318
744037,Apartment at the center of Málaga,3899104,Alejandro,,Centro,36.71739,-4.41272,Entire home/apt,48,3,202,2020-03-18,2.32,1,365
